step,timestamp_s,cmd_x,cmd_y,cmd_z,cmd_qw,cmd_qx,cmd_qy,cmd_qz,joint_1_pos,joint_2_pos,joint_3_pos,joint_4_pos,joint_5_pos,joint_6_pos,joint_7_pos
38,1788745196.653948,-0.003800,0.000000,0.011400,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.002480,-0.004005,0.004387,0.000191
39,1788745196.656094,-0.003900,0.000000,0.011700,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.002098,-0.004005,0.004387,0.000191
40,1788745196.658312,-0.004000,0.000000,0.012000,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.002098,-0.004005,0.004387,0.000191
41,1788745196.660485,-0.004100,0.000000,0.012300,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.002098,-0.004005,0.004387,0.000191
42,1788745196.662633,-0.004200,0.000000,0.012600,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.001717,-0.004005,0.004387,0.000191
43,1788745196.664812,-0.004300,0.000000,0.012900,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.001717,-0.004005,0.004387,0.000572
44,1788745196.666990,-0.004400,0.000000,0.013200,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.001335,-0.004005,0.004387,0.000572
45,1788745196.669168,-0.004500,0.000000,0.013500,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.000954,-0.004005,0.004387,0.000954
46,1788745196.671311,-0.004600,0.000000,0.013800,0.000000,0.000000,0.000000,1.000000,-0.003242,0.003242,-0.001717,0.000954,-0.004005,0.004387,0.000954
47,1788745196.673539,-0.004700,0.000000,0.014100,0.000000,0.000000,0.000000,1.000000,-0.003242,0.003242,-0.001717,0.000572,-0.004005,0.004387,0.001335
48,1788745196.675728,-0.004800,0.000000,0.014400,0.000000,0.000000,0.000000,1.000000,-0.003242,0.003242,-0.001717,0.000191,-0.004005,0.004387,0.001717
49,1788745196.677900,-0.004900,0.000000,0.014700,0.000000,0.000000,0.000000,1.000000,-0.003242,0.003242,-0.001717,-0.000191,-0.004005,0.004387,0.001717
50,1788745196.680089,-0.005000,0.000000,0.015000,0.000000,0.000000,0.000000,1.000000,-0.003242,0.003242,-0.001717,-0.000572,-0.004005,0.004387,0.002098
51,1788745196.682240,-0.005100,0.000000,0.015300,0.000000,0.000000,0.000000,1.000000,-0.003242,0.003242,-0.001717,-0.000954,-0.004005,0.004387,0.002480
52,1788745196.684410,-0.005200,0.000000,0.015600,0.000000,0.000000,0.000000,1.000000,-0.003242,0.003242,-0.001717,-0.001335,-0.004005,0.004387,0.003242
53,1788745196.686568,-0.005300,0.000000,0.015900,0.000000,0.000000,0.000000,1.000000,-0.003242,0.003242,-0.001717,-0.001717,-0.004005,0.004387,0.003624
54,1788745196.688747,-0.005400,0.000000,0.016200,0.000000,0.000000,0.000000,1.000000,-0.003242,0.003242,-0.001717,-0.002098,-0.004005,0.004387,0.004005
55,1788745196.690897,-0.005500,0.000000,0.016500,0.000000,0.000000,0.000000,1.000000,-0.002861,0.003242,-0.001717,-0.002480,-0.004005,0.004387,0.004768
56,1788745196.693043,-0.005600,0.000000,0.016800,0.000000,0.000000,0.000000,1.000000,-0.002861,0.003242,-0.001717,-0.003242,-0.004005,0.004387,0.005150
57,1788745196.695295,-0.005700,0.000000,0.017100,0.000000,0.000000,0.000000,1.000000,-0.002861,0.003242,-0.001717,-0.003624,-0.004005,0.004387,0.005150
58,1788745196.697492,-0.005800,0.000000,0.017400,0.000000,0.000000,0.000000,1.000000,-0.002861,0.003242,-0.001717,-0.003624,-0.004005,0.004387,0.005531
59,1788745196.699651,-0.005900,0.000000,0.017700,0.000000,0.000000,0.000000,1.000000,-0.002861,0.003242,-0.001717,-0.004387,-0.004005,0.004387,0.005531
60,1788745196.701796,-0.006000,0.000000,0.018000,0.000000,0.000000,0.000000,1.000000,-0.002861,0.003242,-0.001717,-0.004768,-0.004005,0.004387,0.005913
61,1788745196.703954,-0.006100,0.000000,0.018300,0.000000,0.000000,0.000000,1.000000,-0.002861,0.003242,-0.001717,-0.005150,-0.004005,0.004387,0.006294
62,1788745196.706149,-0.006200,0.000000,0.018600,0.000000,0.000000,0.000000,1.000000,-0.002861,0.003242,-0.001717,-0.005531,-0.004005,0.004387,0.006676
63,1788745196.708475,-0.006300,0.000000,0.018900,0.000000,0.000000,0.000000,1.000000,-0.002480,0.003242,-0.001717,-0.005531,-0.004005,0.004387,0.006676
64,1788745196.710787,-0.006400,0.000000,0.019200,0.000000,0.000000,0.000000,1.000000,-0.002480,0.003242,-0.001717,-0.006294,-0.004005,0.004387,0.007057
65,1788745196.713167,-0.006500,0.000000,0.019500,0.000000,0.000000,0.000000,1.000000,-0.002480,0.003242,-0.001717,-0.007439,-0.004005,0.004387,0.008202
66,1788745196.715493,-0.006600,0.000000,0.019800,0.000000,0.000000,0.000000,1.000000,-0.002480,0.003242,-0.001717,-0.008202,-0.004005,0.004387,0.008965
67,1788745196.717780,-0.006700,0.000000,0.020100,0.000000,0.000000,0.000000,1.000000,-0.002480,0.003242,-0.001717,-0.008202,-0.004005,0.004387,0.009346
68,1788745196.720058,-0.006800,0.000000,0.020400,0.000000,0.000000,0.000000,1.000000,-0.002480,0.003242,-0.001717,-0.009727,-0.004005,0.004387,0.009727
69,1788745196.722375,-0.006900,0.000000,0.020700,0.000000,0.000000,0.000000,1.000000,-0.002480,0.003242,-0.001717,-0.010109,-0.004005,0.004387,0.010490
70,1788745196.724687,-0.007000,0.000000,0.021000,0.000000,0.000000,0.000000,1.000000,-0.002480,0.003242,-0.001717,-0.010872,-0.004005,0.004387,0.011253
71,1788745196.727045,-0.007100,0.000000,0.021300,0.000000,0.000000,0.000000,1.000000,-0.002098,0.003242,-0.001717,-0.010872,-0.004005,0.004387,0.012398
72,1788745196.729511,-0.007200,0.000000,0.021600,0.000000,0.000000,0.000000,1.000000,-0.002098,0.003242,-0.001717,-0.012779,-0.004005,0.004387,0.013161
73,1788745196.732007,-0.007300,0.000000,0.021900,0.000000,0.000000,0.000000,1.000000,-0.002098,0.003242,-0.001717,-0.012779,-0.004005,0.004387,0.013924
74,1788745196.734390,-0.007400,0.000000,0.022200,0.000000,0.000000,0.000000,1.000000,-0.002098,0.003242,-0.001717,-0.014305,-0.004005,0.004387,0.014687
75,1788745196.736786,-0.007500,0.000000,0.022500,0.000000,0.000000,0.000000,1.000000,-0.002098,0.003242,-0.001717,-0.015068,-0.004387,0.004387,0.015068
76,1788745196.739210,-0.007600,0.000000,0.022800,0.000000,0.000000,0.000000,1.000000,-0.002098,0.003242,-0.001717,-0.016212,-0.004005,0.004387,0.016212
77,1788745196.741495,-0.007700,0.000000,0.023100,0.000000,0.000000,0.000000,1.000000,-0.001717,0.003242,-0.001717,-0.016212,-0.004005,0.004387,0.016594
78,1788745196.743927,-0.007800,0.000000,0.023400,0.000000,0.000000,0.000000,1.000000,-0.001717,0.003242,-0.001717,-0.017738,-0.004005,0.004387,0.016975
79,1788745196.746099,-0.007900,0.000000,0.023700,0.000000,0.000000,0.000000,1.000000,-0.001717,0.003242,-0.001717,-0.018883,-0.004005,0.004387,0.017357
80,1788745196.748393,-0.008000,0.000000,0.024000,0.000000,0.000000,0.000000,1.000000,-0.001335,0.003242,-0.001717,-0.019264,-0.004005,0.004387,0.017738
81,1788745196.750582,-0.008100,0.000000,0.024300,0.000000,0.000000,0.000000,1.000000,-0.001335,0.003242,-0.001717,-0.020409,-0.004387,0.004387,0.018501
82,1788745196.752873,-0.008200,0.000000,0.024600,0.000000,0.000000,0.000000,1.000000,-0.001335,0.003242,-0.001717,-0.021553,-0.004005,0.004387,0.019264
83,1788745196.755183,-0.008300,0.000000,0.024900,0.000000,0.000000,0.000000,1.000000,-0.001335,0.003242,-0.001717,-0.023079,-0.004005,0.004387,0.020409
84,1788745196.757518,-0.008400,0.000000,0.025200,0.000000,0.000000,0.000000,1.000000,-0.001335,0.003242,-0.001717,-0.023842,-0.004387,0.004387,0.020790
85,1788745196.759878,-0.008500,0.000000,0.025500,0.000000,0.000000,0.000000,1.000000,-0.001335,0.003242,-0.001717,-0.024605,-0.004005,0.004387,0.021553
86,1788745196.762170,-0.008600,0.000000,0.025800,0.000000,0.000000,0.000000,1.000000,-0.000954,0.003242,-0.001717,-0.025749,-0.004005,0.004387,0.021935
87,1788745196.764561,-0.008700,0.000000,0.026100,0.000000,0.000000,0.000000,1.000000,-0.000954,0.003242,-0.001717,-0.026512,-0.004005,0.004387,0.022316
88,1788745196.767100,-0.008800,0.000000,0.026400,0.000000,0.000000,0.000000,1.000000,-0.000954,0.003242,-0.001717,-0.028038,-0.004005,0.004387,0.023079
89,1788745196.769508,-0.008900,0.000000,0.026700,0.000000,0.000000,0.000000,1.000000,-0.000572,0.003242,-0.001717,-0.029182,-0.004005,0.004387,0.023460
90,1788745196.771771,-0.009000,0.000000,0.027000,0.000000,0.000000,0.000000,1.000000,-0.000572,0.003242,-0.001717,-0.030327,-0.004387,0.004387,0.023842
91,1788745196.774264,-0.009100,0.000000,0.027300,0.000000,0.000000,0.000000,1.000000,-0.000572,0.003242,-0.001717,-0.031090,-0.004005,0.004387,0.024223
92,1788745196.776594,-0.009200,0.000000,0.027600,0.000000,0.000000,0.000000,1.000000,-0.000191,0.003242,-0.001717,-0.031854,-0.004005,0.004387,0.024223
93,1788745196.778910,-0.009300,0.000000,0.027900,0.000000,0.000000,0.000000,1.000000,0.000191,0.003242,-0.001717,-0.033761,-0.004387,0.004387,0.024986
94,1788745196.781239,-0.009400,0.000000,0.028200,0.000000,0.000000,0.000000,1.000000,0.000191,0.003242,-0.001717,-0.034905,-0.004387,0.004387,0.025749
95,1788745196.783574,-0.009500,0.000000,0.028500,0.000000,0.000000,0.000000,1.000000,0.000191,0.003242,-0.001717,-0.035668,-0.004005,0.004387,0.026131
96,1788745196.785853,-0.009600,0.000000,0.028800,0.000000,0.000000,0.000000,1.000000,0.000572,0.003242,-0.001717,-0.036813,-0.004005,0.004387,0.026894
97,1788745196.788123,-0.009700,0.000000,0.029100,0.000000,0.000000,0.000000,1.000000,0.000572,0.003242,-0.001717,-0.036813,-0.004387,0.004387,0.027275
98,1788745196.790425,-0.009800,0.000000,0.029400,0.000000,0.000000,0.000000,1.000000,0.000954,0.003242,-0.001717,-0.038720,-0.004005,0.004387,0.027657
99,1788745196.792692,-0.009900,0.000000,0.029700,0.000000,0.000000,0.000000,1.000000,0.000954,0.003242,-0.001717,-0.038720,-0.004005,0.004387,0.028419
100,1788745196.794988,-0.010000,0.000000,0.030000,0.000000,0.000000,0.000000,1.000000,0.001335,0.003242,-0.001717,-0.042153,-0.004005,0.004387,0.029182
101,1788745196.797163,-0.010100,0.000000,0.030300,0.000000,0.000000,0.000000,1.000000,0.001335,0.003242,-0.001717,-0.043679,-0.004005,0.004387,0.029564
102,1788745196.799458,-0.010200,0.000000,0.030600,0.000000,0.000000,0.000000,1.000000,0.001335,0.003242,-0.001717,-0.044442,-0.004387,0.004387,0.029945
103,1788745196.801598,-0.010300,0.000000,0.030900,0.000000,0.000000,0.000000,1.000000,0.001717,0.003242,-0.001717,-0.045587,-0.004005,0.004387,0.030708
104,1788745196.803746,-0.010400,0.000000,0.031200,0.000000,0.000000,0.000000,1.000000,0.001717,0.003242,-0.001717,-0.045587,-0.004387,0.004387,0.031090
105,1788745196.805898,-0.010500,0.000000,0.031500,0.000000,0.000000,0.000000,1.000000,0.002098,0.003624,-0.001717,-0.047494,-0.004387,0.004387,0.031472
106,1788745196.808074,-0.010600,0.000000,0.031800,0.000000,0.000000,0.000000,1.000000,0.002098,0.003624,-0.001717,-0.049020,-0.004005,0.004387,0.031854
107,1788745196.810237,-0.010700,0.000000,0.032100,0.000000,0.000000,0.000000,1.000000,0.002480,0.003624,-0.001717,-0.049783,-0.004005,0.004387,0.032235
108,1788745196.812420,-0.010800,0.000000,0.032400,0.000000,0.000000,0.000000,1.000000,0.002480,0.003242,-0.001717,-0.050927,-0.004387,0.004387,0.032998
109,1788745196.814594,-0.010900,0.000000,0.032700,0.000000,0.000000,0.000000,1.000000,0.002861,0.003624,-0.001717,-0.051690,-0.004387,0.004387,0.033380
110,1788745196.816818,-0.011000,0.000000,0.033000,0.000000,0.000000,0.000000,1.000000,0.003242,0.003624,-0.001717,-0.053216,-0.004005,0.004387,0.034142
111,1788745196.819000,-0.011100,0.000000,0.033300,0.000000,0.000000,0.000000,1.000000,0.003624,0.003624,-0.001717,-0.055505,-0.004387,0.004387,0.035287
112,1788745196.821153,-0.011200,0.000000,0.033600,0.000000,0.000000,0.000000,1.000000,0.003624,0.003624,-0.001717,-0.057031,-0.004005,0.004387,0.036050
113,1788745196.823315,-0.011300,0.000000,0.033900,0.000000,0.000000,0.000000,1.000000,0.004005,0.003624,-0.001717,-0.057031,-0.004005,0.004387,0.036813
114,1788745196.825475,-0.011400,0.000000,0.034200,0.000000,0.000000,0.000000,1.000000,0.004005,0.003624,-0.001717,-0.059319,-0.004005,0.004387,0.037576
115,1788745196.827626,-0.011500,0.000000,0.034500,0.000000,0.000000,0.000000,1.000000,0.004387,0.003624,-0.001717,-0.060845,-0.004387,0.004387,0.038720
116,1788745196.829809,-0.011600,0.000000,0.034800,0.000000,0.000000,0.000000,1.000000,0.004768,0.003624,-0.001717,-0.061608,-0.004005,0.004387,0.039102
117,1788745196.831976,-0.011700,0.000000,0.035100,0.000000,0.000000,0.000000,1.000000,0.005150,0.003624,-0.001717,-0.063134,-0.004387,0.004387,0.040627
118,1788745196.834147,-0.011800,0.000000,0.035400,0.000000,0.000000,0.000000,1.000000,0.005150,0.003624,-0.001717,-0.063516,-0.004005,0.004387,0.041390
119,1788745196.836311,-0.011900,0.000000,0.035700,0.000000,0.000000,0.000000,1.000000,0.005531,0.003624,-0.001717,-0.065042,-0.004005,0.004387,0.042535
120,1788745196.838469,-0.012000,0.000000,0.036000,0.000000,0.000000,0.000000,1.000000,0.005913,0.003624,-0.001717,-0.066567,-0.004387,0.004387,0.043298
121,1788745196.840605,-0.012100,0.000000,0.036300,0.000000,0.000000,0.000000,1.000000,0.005913,0.003624,-0.001717,-0.067330,-0.004387,0.004387,0.044061
122,1788745196.842781,-0.012200,0.000000,0.036600,0.000000,0.000000,0.000000,1.000000,0.006294,0.003624,-0.001717,-0.068856,-0.004005,0.004387,0.045205
123,1788745196.845097,-0.012300,0.000000,0.036900,0.000000,0.000000,0.000000,1.000000,0.006676,0.003624,-0.001717,-0.071145,-0.004387,0.004387,0.046350
124,1788745196.847397,-0.012400,0.000000,0.037200,0.000000,0.000000,0.000000,1.000000,0.007057,0.003624,-0.001717,-0.072289,-0.004387,0.004387,0.046731
125,1788745196.849688,-0.012500,0.000000,0.037500,0.000000,0.000000,0.000000,1.000000,0.007439,0.003624,-0.001717,-0.072289,-0.004387,0.004387,0.047112
126,1788745196.851962,-0.012600,0.000000,0.037800,0.000000,0.000000,0.000000,1.000000,0.007820,0.003624,-0.001717,-0.074578,-0.004387,0.004387,0.048257
127,1788745196.854204,-0.012700,0.000000,0.038100,0.000000,0.000000,0.000000,1.000000,0.007820,0.003624,-0.001717,-0.075723,-0.004387,0.004387,0.048638
128,1788745196.856518,-0.012800,0.000000,0.038400,0.000000,0.000000,0.000000,1.000000,0.008202,0.003624,-0.001717,-0.076867,-0.004387,0.004387,0.049020
129,1788745196.858824,-0.012900,0.000000,0.038700,0.000000,0.000000,0.000000,1.000000,0.008202,0.003624,-0.001717,-0.078393,-0.004387,0.004387,0.050164
130,1788745196.861148,-0.013000,0.000000,0.039000,0.000000,0.000000,0.000000,1.000000,0.008583,0.003624,-0.001717,-0.080300,-0.004387,0.004387,0.051690
131,1788745196.863366,-0.013100,0.000000,0.039300,0.000000,0.000000,0.000000,1.000000,0.009346,0.003624,-0.001717,-0.081826,-0.004387,0.004387,0.052453
132,1788745196.865587,-0.013200,0.000000,0.039600,0.000000,0.000000,0.000000,1.000000,0.009346,0.003624,-0.001717,-0.082589,-0.004387,0.004387,0.052835
133,1788745196.867769,-0.013300,0.000000,0.039900,0.000000,0.000000,0.000000,1.000000,0.009727,0.003624,-0.001717,-0.084115,-0.004387,0.004387,0.053597
134,1788745196.869924,-0.013400,0.000000,0.040200,0.000000,0.000000,0.000000,1.000000,0.010109,0.003624,-0.001717,-0.084115,-0.004387,0.004387,0.053979
135,1788745196.872095,-0.013500,0.000000,0.040500,0.000000,0.000000,0.000000,1.000000,0.010490,0.003624,-0.001717,-0.086404,-0.004387,0.004387,0.055123
136,1788745196.874265,-0.013600,0.000000,0.040800,0.000000,0.000000,0.000000,1.000000,0.010872,0.003624,-0.001717,-0.087930,-0.004005,0.004387,0.055886
137,1788745196.876438,-0.013700,0.000000,0.041100,0.000000,0.000000,0.000000,1.000000,0.011253,0.003624,-0.001717,-0.088693,-0.004387,0.004387,0.056268
138,1788745196.878598,-0.013800,0.000000,0.041400,0.000000,0.000000,0.000000,1.000000,0.011635,0.003624,-0.001717,-0.090219,-0.004387,0.004387,0.057031
139,1788745196.880755,-0.013900,0.000000,0.041700,0.000000,0.000000,0.000000,1.000000,0.011635,0.003624,-0.001717,-0.090981,-0.004387,0.004387,0.057794
140,1788745196.882930,-0.014000,0.000000,0.042000,0.000000,0.000000,0.000000,1.000000,0.012398,0.003624,-0.001717,-0.092507,-0.004387,0.004387,0.060464
141,1788745196.885093,-0.014100,0.000000,0.042300,0.000000,0.000000,0.000000,1.000000,0.012779,0.003624,-0.001717,-0.092507,-0.004387,0.004387,0.060845
142,1788745196.887253,-0.014200,0.000000,0.042600,0.000000,0.000000,0.000000,1.000000,0.013161,0.003624,-0.001717,-0.096323,-0.004387,0.004387,0.062371
143,1788745196.889478,-0.014300,0.000000,0.042900,0.000000,0.000000,0.000000,1.000000,0.013542,0.003624,-0.001717,-0.096323,-0.004387,0.004387,0.063134
144,1788745196.891655,-0.014400,0.000000,0.043200,0.000000,0.000000,0.000000,1.000000,0.013542,0.003624,-0.001717,-0.098612,-0.004387,0.004387,0.065042
145,1788745196.893818,-0.014500,0.000000,0.043500,0.000000,0.000000,0.000000,1.000000,0.013924,0.003624,-0.001717,-0.100138,-0.004387,0.004387,0.066186
146,1788745196.895991,-0.014600,0.000000,0.043800,0.000000,0.000000,0.000000,1.000000,0.014305,0.003624,-0.001717,-0.101282,-0.004387,0.004387,0.066949
147,1788745196.898142,-0.014700,0.000000,0.044100,0.000000,0.000000,0.000000,1.000000,0.014305,0.003624,-0.001717,-0.102808,-0.004387,0.004387,0.068475
148,1788745196.900327,-0.014800,0.000000,0.044400,0.000000,0.000000,0.000000,1.000000,0.014687,0.003624,-0.001717,-0.103571,-0.004387,0.004387,0.069238
149,1788745196.902533,-0.014900,0.000000,0.044700,0.000000,0.000000,0.000000,1.000000,0.015068,0.003624,-0.001717,-0.105097,-0.004387,0.004387,0.070382
150,1788745196.904723,-0.015000,0.000000,0.045000,0.000000,0.000000,0.000000,1.000000,0.015450,0.003624,-0.001717,-0.106623,-0.004387,0.004387,0.071145
151,1788745196.906911,-0.015100,0.000000,0.045300,0.000000,0.000000,0.000000,1.000000,0.016212,0.003624,-0.001717,-0.108912,-0.004387,0.004387,0.072671
152,1788745196.909127,-0.015200,0.000000,0.045600,0.000000,0.000000,0.000000,1.000000,0.016212,0.003624,-0.001717,-0.109674,-0.004387,0.004387,0.073434
153,1788745196.911318,-0.015300,0.000000,0.045900,0.000000,0.000000,0.000000,1.000000,0.016594,0.003624,-0.001717,-0.111200,-0.004387,0.004387,0.074197
154,1788745196.913474,-0.015400,0.000000,0.046200,0.000000,0.000000,0.000000,1.000000,0.016975,0.003624,-0.001717,-0.112345,-0.004387,0.004387,0.074960
155,1788745196.915707,-0.015500,0.000000,0.046500,0.000000,0.000000,0.000000,1.000000,0.017357,0.003624,-0.001717,-0.113108,-0.004387,0.004387,0.075723
156,1788745196.917905,-0.015600,0.000000,0.046800,0.000000,0.000000,0.000000,1.000000,0.017738,0.003624,-0.001717,-0.114634,-0.004387,0.004387,0.076104
157,1788745196.920083,-0.015700,0.000000,0.047100,0.000000,0.000000,0.000000,1.000000,0.018120,0.003624,-0.001717,-0.114634,-0.004387,0.004387,0.076867
158,1788745196.922244,-0.015800,0.000000,0.047400,0.000000,0.000000,0.000000,1.000000,0.018501,0.003624,-0.001717,-0.116541,-0.004387,0.004387,0.077630
159,1788745196.924408,-0.015900,0.000000,0.047700,0.000000,0.000000,0.000000,1.000000,0.018883,0.003624,-0.001717,-0.118067,-0.004387,0.004387,0.078393
160,1788745196.926629,-0.016000,0.000000,0.048000,0.000000,0.000000,0.000000,1.000000,0.019264,0.003624,-0.001717,-0.118067,-0.004387,0.004387,0.079156
161,1788745196.928827,-0.016100,0.000000,0.048300,0.000000,0.000000,0.000000,1.000000,0.019646,0.003624,-0.001717,-0.120356,-0.004387,0.004387,0.079919
162,1788745196.930985,-0.016200,0.000000,0.048600,0.000000,0.000000,0.000000,1.000000,0.020409,0.003624,-0.001717,-0.122644,-0.004387,0.004387,0.081063
163,1788745196.933170,-0.016300,0.000000,0.048900,0.000000,0.000000,0.000000,1.000000,0.020409,0.003624,-0.001717,-0.124170,-0.004387,0.004387,0.082208
